"PlotID","lon","lat","hii","age_yr","elem_m"
91,-155.675401426198,19.0970568203496,10,2250,915.323486328125
92,-155.683844219774,19.1169799437513,10,2250,1124.79064941406
93,-155.605898351223,19.2432223742085,10,2250,1856.9736328125
94,-155.677082015232,19.1217920382226,10,2250,1152.46459960938
95,-155.578201057247,19.2692336450018,8.00798606872559,1125,1897.53125
96,-155.563582334876,19.2812419500488,6.7039966583252,20500,1957.06665039062
97,-155.660210412886,19.1934719514179,10,475,1684.61328125
98,-155.684212244719,19.1509082514948,10,2250,1393.55004882812
99,-155.680511500287,19.1259138195881,10,2250,1189.50024414062
100,-155.68010685432,19.113196797704,10,2250,1082.31958007812
101,-155.223899691828,19.3756536653444,17,300,1024.615234375
102,-155.227346239639,19.3820512746222,17,300,1052.99743652344
103,-155.167902044014,19.3592587798729,22,575,864.764892578125
104,-155.117763161574,19.3544114828752,33.3181762695312,575,695.884216308594
105,-155.139633361671,19.3698450204031,23.7064685821533,575,799.816650390625
106,-155.154253912668,19.3533511025826,22,575,819.118591308594
107,-155.154523838139,19.3586860079112,22,575,849.084228515625
108,-155.143011995836,19.3523727892095,22,575,779.468505859375
109,-155.139969445707,19.3365205923323,22,575,706.902160644531
110,-155.218127837685,19.3781356890683,17,300,1019.75146484375
111,-155.123203612092,19.3732891764644,25.0517635345459,300,755.172424316406
112,-155.233072758158,19.3978772110509,15.4703960418701,1033.5,1121.87145996094
113,-155.162682967342,19.3531789157941,22,575,829.738830566406
114,-155.116714207279,19.3505577736643,31.8400268554688,575,693.372863769531
115,-155.139304403031,19.3446304654864,23.2396831512451,575,753.208923339844
116,-155.120244448144,19.3446455891584,31.8400268554688,575,692.666870117188
117,-155.229083220181,19.3852002007579,17.1021022796631,300,1078.18713378906
118,-155.119839642715,19.3604481087408,29.4924926757812,575,711.653503417969
119,-155.157945513526,19.3634235606367,22,575,866.032958984375
120,-155.12548134628,19.3735245182658,25.0517635345459,300,761.573181152344
121,-155.13097607589,19.3510688630787,29.2812461853027,575,739.626098632812
122,-155.255115670633,19.499022618665,14,8000,1255.78173828125
123,-155.230487276563,19.4685293289264,24,8000,1114.51965332031
124,-155.214078862257,19.4775638486691,20.922664642334,8000,1043.20751953125
125,-155.236486925788,19.5177690551356,14,1125,1155.34106445312
126,-155.263877585745,19.4976306917398,14,8000,1304.92175292969
127,-155.263030962624,19.4935950898471,14,8000,1304.51989746094
128,-155.24763251289,19.5019878384174,14,8000,1218.30627441406
129,-155.26652888783,19.4965227294449,14,8000,1323.79272460938
130,-155.251560812603,19.4940362175167,14,8000,1225.77600097656
131,-155.249886218083,19.4748555348422,24,8000,1201.82763671875
132,-155.250529841676,19.4780176852142,22.6690235137939,8000,1205.83813476562
133,-155.222920882009,19.4848752208602,14,8000,1104.58544921875
134,-155.267776437572,19.4965161290474,14,8000,1323.79272460938
135,-155.232012290153,19.5123872063941,14,1125,1129.99548339844
136,-155.23307533905,19.4767164250015,23.8431358337402,8000,1133.22839355469
137,-155.248491889075,19.4711156344053,24,8000,1179.14916992188
138,-155.255682705051,19.5062589824451,14,20500,1268.35729980469
139,-155.239026439267,19.5147300358387,14,20500,1168.03503417969
140,-155.247760319616,19.5112347589604,14,1125,1222.36743164062
141,-158.096661111111,21.4177555555556,34,3010000,760.4609375
142,-156.277379,20.827244,29.1098976135254,545000,892.455078125
143,-158.19395,21.536533,18,3010000,636.5341796875
144,-156.907542101066,21.1463179889582,18.6656093597412,1400000,1039.67065429688
145,-156.907504360639,21.1407815140105,19.5161514282227,1400000,1087.34533691406
146,-156.905834858542,21.1486088054269,18.6656093597412,1400000,1004.33435058594
147,-156.908721743235,21.123998855002,18.958324432373,1400000,1177.93896484375
148,-156.903254853603,21.145876589566,18.6656093597412,1400000,1076.98779296875
149,-156.910251673945,21.1405084013762,19.5161514282227,1400000,1047.49182128906
150,-156.90073319951,21.1431089401108,18,1400000,1127.55639648438
151,-156.915264716171,21.1557965495072,19.5352573394775,1400000,936.999389648438
152,-156.909560009539,21.1308005398486,21.5512866973877,1400000,1081.42150878906
153,-156.916488637046,21.1584577217569,17.4852447509766,1400000,876.019775390625
154,-156.905669774241,21.1357014603087,19.5161514282227,1400000,1138.86804199219
155,-156.907772063552,21.1230840232132,18.958324432373,1400000,1200.08654785156
156,-156.904154973543,21.1386900366261,19.5161514282227,1400000,1142.4404296875
157,-156.908203660716,21.1314249917013,21.5512866973877,1400000,1148.19653320312
158,-156.908349860167,21.14500944762,18.6656093597412,1400000,1071.87219238281
159,-156.907023845597,21.1372986336997,19.5161514282227,1400000,1095.52990722656
160,-156.904348259898,21.1345291380334,19.5161514282227,1400000,1176.34167480469
161,-156.907216843378,21.1427467192195,18.6656093597412,1400000,1071.57092285156
162,-156.907810643895,21.1436481307824,18.6656093597412,1400000,1071.57092285156
163,-156.899934908958,21.1314490696631,18.8407077789307,1400000,1202.15173339844
164,-156.904268705022,21.1442906626711,18.6656093597412,1400000,1076.98779296875
165,-156.899266082804,21.1379250174543,18,1400000,1179.775390625
166,-156.902916678906,21.141862640184,18.6656093597412,1400000,1121.51782226562
167,-156.904525200004,21.1370058230144,19.5161514282227,1400000,1138.86804199219
168,-156.910959815449,21.1538469285018,18.2589626312256,1400000,975.54052734375
169,-156.906413699527,21.1464665903276,18.6656093597412,1400000,1042.12341308594
170,-156.912148549033,21.1507729944598,19.5352573394775,1400000,1006.48913574219
171,-156.906632198215,21.1357133639375,19.5161514282227,1400000,1138.86804199219
172,-156.906759013172,21.1266839152138,21.5512866973877,1400000,1164.94665527344
173,-158.223280555556,21.5472722222222,22,3305000,448.977478027344
174,-156.929944,21.116536,18,1400000,943.4892578125
175,-156.929944,21.119022,18,1400000,967.635925292969
176,-156.959069444444,21.1125694444444,26.0225372314453,1400000,646.171936035156
177,-156.339097222222,20.6202666666667,22,4000,649.109497070312
178,-156.976552777778,20.8759166666667,17,1380000,525.825500488281
179,-156.967322222222,20.8734472222222,17,1380000,512.878540039062
180,-156.988458333333,20.8780555555556,17,1380000,524.721618652344
181,-155.456834,19.332256,10,1125,1090.35095214844
182,-155.936438888889,19.7684166666667,18.2466983795166,2250,633.688293457031
183,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
184,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
185,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
186,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
187,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
188,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
189,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
190,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
191,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
192,-155.04493,19.70426,36.0400047302246,1125,32.1569671630859
193,-155.704006,20.056842,27.7438125610352,190000,1244.01257324219
194,-159.660227,22.130645,22,4750000,1136.97766113281
195,-159.689736111111,22.1414666666667,22,4750000,800.966796875
196,-159.667991666667,22.1477722222222,22,4750000,978.552612304688
197,-154.94494,19.414264,22,575,216.175247192383
198,-154.94494,19.414264,22,575,216.175247192383
199,-154.94494,19.414264,22,575,216.175247192383
200,-154.94494,19.414264,22,575,216.175247192383
201,-154.94494,19.414264,22,575,216.175247192383
202,-154.94494,19.414264,22,575,216.175247192383
203,-154.94494,19.414264,22,575,216.175247192383
204,-154.94494,19.414264,22,575,216.175247192383
205,-154.94494,19.414264,22,575,216.175247192383
206,-154.94494,19.414264,22,575,216.175247192383
207,-155.85829,19.316406,14.9116306304932,2250,595.070068359375
208,-154.952525,19.424302,22,62,283.214935302734
209,-154.952525,19.424302,22,62,283.214935302734
210,-154.952525,19.424302,22,62,283.214935302734
211,-154.952525,19.424302,22,62,283.214935302734
212,-154.952525,19.424302,22,62,283.214935302734
213,-154.952525,19.424302,22,62,283.214935302734
214,-154.952525,19.424302,22,62,283.214935302734
215,-154.952525,19.424302,22,62,283.214935302734
216,-154.952525,19.424302,22,62,283.214935302734
217,-154.952525,19.424302,22,62,283.214935302734
218,-159.412501,22.091171,18.0195636749268,2e+06,325.575897216797
219,-156.290347,20.727622,18,545000,1904.75744628906
220,-155.283333333333,19.9166666666667,10,182000,NA
221,-154.901906,19.482657,22,227,202.309799194336
222,-156.597297222222,20.8582972222222,18,NA,776.899963378906
223,-159.574239,22.217716,22,4750000,120.46231842041
224,-156.253849,20.800458,15.4269275665283,545000,1420.69116210938
225,-154.869039,19.437316,22,575,38.1605529785156
226,-155.814841666667,19.11375,14,2250,669.570617675781
227,-155.814727777778,19.1160972222222,14,1125,679.245178222656
228,-155.385557,19.494317,6.53770065307617,2250,2034.16088867188
229,-157.779529,21.349632,36.9587936401367,2400000,211.557464599609
230,-159.683902777778,22.1267555555556,22,4750000,937.666748046875
231,-154.872306,19.440743,22,227,52.2170104980469
232,-154.872306,19.440743,22,227,52.2170104980469
233,-154.872306,19.440743,22,227,52.2170104980469
234,-154.872306,19.440743,22,227,52.2170104980469
235,-154.872306,19.440743,22,227,52.2170104980469
236,-154.872306,19.440743,22,227,52.2170104980469
237,-154.872306,19.440743,22,227,52.2170104980469
238,-154.872306,19.440743,22,227,52.2170104980469
239,-154.872306,19.440743,22,227,52.2170104980469
240,-154.872306,19.440743,22,227,52.2170104980469
241,-154.868508,19.440783,22,227,49.7292213439941
242,-154.868508,19.440783,22,227,49.7292213439941
243,-154.868508,19.440783,22,227,49.7292213439941
244,-154.868508,19.440783,22,227,49.7292213439941
245,-154.868508,19.440783,22,227,49.7292213439941
246,-154.868508,19.440783,22,227,49.7292213439941
247,-154.868508,19.440783,22,227,49.7292213439941
248,-154.868508,19.440783,22,227,49.7292213439941
249,-154.868508,19.440783,22,227,49.7292213439941
250,-154.868508,19.440783,22,227,49.7292213439941
251,-154.905455,19.530393,18,177,104.844665527344
252,-154.905455,19.530393,18,177,104.844665527344
253,-154.905455,19.530393,18,177,104.844665527344
254,-154.905455,19.530393,18,177,104.844665527344
255,-154.905455,19.530393,18,177,104.844665527344
256,-154.905455,19.530393,18,177,104.844665527344
257,-154.884626,19.525996,18,575,82.8706283569336
258,-154.884626,19.525996,18,575,82.8706283569336
259,-154.884626,19.525996,18,575,82.8706283569336
260,-154.884626,19.525996,18,575,82.8706283569336
261,-154.884626,19.525996,18,575,82.8706283569336
262,-154.884626,19.525996,18,575,82.8706283569336
263,-154.884626,19.525996,18,575,82.8706283569336
264,-154.884626,19.525996,18,575,82.8706283569336
265,-154.884626,19.525996,18,575,82.8706283569336
266,-154.884626,19.525996,18,575,82.8706283569336
267,-154.905455,19.530393,18,177,104.844665527344
268,-154.905455,19.530393,18,177,104.844665527344
269,-154.905455,19.530393,18,177,104.844665527344
270,-154.905455,19.530393,18,177,104.844665527344
271,-154.905455,19.530393,18,177,104.844665527344
272,-154.873548,19.52276,18,300,90.0648956298828
273,-154.873548,19.52276,18,300,90.0648956298828
274,-154.873548,19.52276,18,300,90.0648956298828
275,-154.873548,19.52276,18,300,90.0648956298828
276,-154.873548,19.52276,18,300,90.0648956298828
277,-154.873548,19.52276,18,300,90.0648956298828
278,-154.873548,19.52276,18,300,90.0648956298828
279,-154.873548,19.52276,18,300,90.0648956298828
280,-154.873548,19.52276,18,300,90.0648956298828
281,-154.873548,19.52276,18,300,90.0648956298828
282,-159.479912,22.186576,18,4750000,304.609405517578
283,-154.99774,19.54567,32.3857917785645,1033.5,164.070114135742
284,-155.983333333333,19.7333333333333,33.2914123535156,2250,NA
285,-158.100992,21.413189,34,3010000,852.602905273438
